addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
9815,4,standalone,9815,4,9815,4,1,0x04,table_run
9818,4,standalone,9818,4,9818,4,1,0x04,table_run
981B,4,standalone,981B,4,981B,4,1,0x04,table_run
981E,4,standalone,981E,4,981E,4,1,0x04,table_run
8518,4,standalone,8518,4,8518,4,1,0x04,table_run
8541,4,secondary,8524,4,8524,4,1,0x04,table_run
8542,4,standalone,8542,4,8542,4,1,0x04,table_run
9600,4,standalone,9600,4,9600,4,1,0x04,table_run
96FE,4,standalone,96FE,4,96FE,4,1,0x04,table_run
B51C,4,secondary,B0B9,4,B0B9,4,1,0x04,table_run
BD96,4,secondary,B0B9,4,B0B9,4,1,0x04,table_run
925F,4,standalone,925F,4,925F,4,1,0x04,table_run
919D,4,standalone,919D,4,919D,4,1,0x04,table_run
BD04,4,secondary,B0B9,4,B0B9,4,1,0x04,table_run
927C,4,standalone,927C,4,927C,4,1,0x04,table_run
95E7,4,standalone,95E7,4,95E7,4,1,0x04,table_run
9595,4,standalone,9595,4,9595,4,1,0x04,table_run
A595,4,standalone,A595,4,A595,4,1,0x04,table_run
9300,4,standalone,9300,4,9300,4,1,0x04,table_run
93CD,4,standalone,93CD,4,93CD,4,1,0x04,table_run
A056,4,standalone,A056,4,A056,4,1,0x04,table_run
8460,4,standalone,8460,4,8460,4,1,0x04,table_run
8534,4,standalone,8534,4,8534,4,1,0x04,table_run
8533,4,secondary,8524,4,8524,4,1,0x04,table_run
A924,4,secondary,A909,4,A909,4,1,0x04,table_run
8206,5,secondary,81A4,5,81A4,5,1,0x04,table_run
8282,5,secondary,81A4,5,81A4,5,1,0x04,table_run
83DE,5,standalone,83DE,5,83DE,5,1,0x04,table_run
A800,5,secondary,A7FD,5,A7FD,5,1,0x04,table_run
B085,5,standalone,B085,5,B05B,5,5,0x05,control|table_run
B885,5,secondary,B843,5,B843,5,1,0x04,table_run
9D8B,5,secondary,9483,5,9483,5,1,0x04,table_run
A68B,5,secondary,A67F,5,A67F,5,1,0x04,table_run
B48B,5,standalone,B48B,5,B48B,5,1,0x04,table_run
B788,5,secondary,AFF1,5,AFF1,5,1,0x04,table_run
BD88,5,secondary,BCC4,5,BCC4,5,1,0x04,table_run
948B,5,secondary,9483,5,9483,5,1,0x04,table_run
AF8B,5,secondary,AF74,5,AF74,5,1,0x04,table_run
988B,5,secondary,9851,5,9851,5,1,0x04,table_run
958C,5,standalone,958C,5,958C,5,1,0x04,table_run
9E8C,5,secondary,9483,5,9483,5,1,0x04,table_run
A78C,5,standalone,A78C,5,A78C,5,1,0x04,table_run
B08C,5,secondary,B05B,5,B05B,5,1,0x04,table_run
8890,5,secondary,8594,5,8594,5,1,0x04,table_run
8914,5,secondary,8594,5,8594,5,1,0x04,table_run
890E,5,secondary,8594,5,8594,5,1,0x04,table_run
8905,5,secondary,8594,5,8594,5,1,0x04,table_run
9688,5,secondary,9483,5,9483,5,1,0x04,table_run
9F88,5,standalone,9F88,5,9F88,5,1,0x04,table_run
A588,5,secondary,9483,5,9483,5,1,0x04,table_run
AB88,5,secondary,AB7B,5,AB7B,5,1,0x04,table_run
AE88,5,secondary,AE53,5,AE53,5,1,0x04,table_run
988D,5,secondary,9851,5,9851,5,1,0x04,table_run
A78D,5,secondary,99A0,5,99A0,5,1,0x04,table_run
AE8D,5,secondary,AE53,5,AE53,5,1,0x04,table_run
BD8D,5,secondary,BCC4,5,BCC4,5,1,0x04,table_run
9388,5,standalone,9388,5,9366,5,3,0x05,control|table_run
9C5A,5,standalone,9C5A,5,9C5A,5,1,0x04,table_run
9C62,5,secondary,9483,5,9483,5,1,0x04,table_run
9C93,5,secondary,9483,5,9483,5,1,0x04,table_run
9CF1,5,standalone,9CF1,5,9CF1,5,1,0x04,table_run
9CBB,5,secondary,9483,5,9483,5,1,0x04,table_run
9CF6,5,secondary,9483,5,9483,5,1,0x04,table_run
9D35,5,secondary,9483,5,9483,5,1,0x04,table_run
9D7A,5,secondary,9483,5,9483,5,1,0x04,table_run
9E15,5,secondary,9483,5,9483,5,1,0x04,table_run
9E98,5,secondary,9483,5,9483,5,1,0x04,table_run
9ED4,5,secondary,9483,5,9483,5,1,0x04,table_run
9EF4,5,secondary,9483,5,9483,5,1,0x04,table_run
9F01,5,secondary,9483,5,9483,5,1,0x04,table_run
9F38,5,secondary,9483,5,9483,5,1,0x04,table_run
9F4D,5,secondary,9483,5,9483,5,1,0x04,table_run
9F73,5,secondary,9483,5,9483,5,1,0x04,table_run
9F7D,5,secondary,9483,5,9483,5,1,0x04,table_run
9F87,5,secondary,9483,5,9483,5,1,0x04,table_run
A007,5,secondary,9483,5,9483,5,1,0x04,table_run
A02C,5,secondary,9483,5,9483,5,1,0x04,table_run
A05C,5,secondary,9483,5,9483,5,1,0x04,table_run
A0A1,5,secondary,9483,5,9483,5,1,0x04,table_run
A0F3,5,secondary,9483,5,9483,5,1,0x04,table_run
A15C,5,secondary,9483,5,9483,5,1,0x04,table_run
A188,5,secondary,9483,5,9483,5,1,0x04,table_run
A208,5,secondary,9483,5,9483,5,1,0x04,table_run
A28D,5,secondary,9483,5,9483,5,1,0x04,table_run
A2CC,5,secondary,9483,5,9483,5,1,0x04,table_run
A313,5,secondary,9483,5,9483,5,1,0x04,table_run
A328,5,secondary,9483,5,9483,5,1,0x04,table_run
A38D,5,secondary,9483,5,9483,5,1,0x04,table_run
