addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
FE5C,7,secondary,FCFD,7,FCFD,7,1,0x02,ptr_scan
DB6F,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
E7DB,7,standalone,E7DB,7,E7DB,7,1,0x02,ptr_scan
CFFE,7,standalone,CFFE,7,CFFE,7,1,0x02,ptr_scan
D3FF,7,secondary,C496,7,C496,7,1,0x02,ptr_scan
EFBE,7,standalone,EFBE,7,EFBE,7,1,0x02,ptr_scan
DFCD,7,standalone,DFCD,7,DFCD,7,1,0x02,ptr_scan
DF44,7,standalone,DF44,7,DF44,7,1,0x02,ptr_scan
F9C7,7,secondary,F9A8,7,F9A8,7,1,0x02,ptr_scan
EFB3,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
DA8A,7,standalone,DA8A,7,DA8A,7,1,0x02,ptr_scan
F7DA,7,standalone,F7DA,7,F7DA,7,1,0x02,ptr_scan
D93F,7,standalone,D93F,7,D93F,7,1,0x02,ptr_scan
CFDF,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
D9F9,7,secondary,CA16,7,CA16,7,1,0x02,ptr_scan
D852,7,secondary,C915,7,C915,7,1,0x02,ptr_scan
F7FE,7,secondary,F7DC,7,F7DC,7,1,0x02,ptr_scan
EFDB,7,standalone,EFDB,7,EFDB,7,1,0x02,ptr_scan
F10F,7,standalone,F10F,7,F10F,7,1,0x02,ptr_scan
EF13,7,standalone,EF13,7,EF13,7,1,0x02,ptr_scan
E97F,7,standalone,E97F,7,E97F,7,1,0x02,ptr_scan
CFFF,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
C8C1,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
C3C9,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CBC4,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
D4CC,7,secondary,C555,7,C555,7,1,0x02,ptr_scan
D5CD,7,standalone,D5CD,7,D5CD,7,1,0x02,ptr_scan
CFD6,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
D8D0,7,secondary,C915,7,C915,7,1,0x02,ptr_scan
D2D9,7,secondary,C3ED,7,C3ED,7,1,0x02,ptr_scan
DAD2,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
D2DD,7,secondary,C3ED,7,C3ED,7,1,0x02,ptr_scan
DED2,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
D3DE,7,secondary,C3ED,7,C3ED,7,1,0x02,ptr_scan
ECDF,7,secondary,EC91,7,EC91,7,1,0x02,ptr_scan
EDE0,7,standalone,EDE0,7,EDE0,7,1,0x02,ptr_scan
EFE2,7,standalone,EFE2,7,EFE2,7,1,0x02,ptr_scan
E4F0,7,secondary,E4E3,7,E4E3,7,1,0x02,ptr_scan
E6F2,7,standalone,E6F2,7,E6F2,7,1,0x02,ptr_scan
F4E7,7,standalone,F4E7,7,F4E7,7,1,0x02,ptr_scan
E8F4,7,standalone,E8F4,7,E8F4,7,1,0x02,ptr_scan
E7F5,7,standalone,E7F5,7,E7F5,7,1,0x02,ptr_scan
E9F6,7,secondary,E9EA,7,E9EA,7,1,0x02,ptr_scan
EAF7,7,secondary,EAEC,7,EAEC,7,1,0x02,ptr_scan
F8EA,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
EBF8,7,secondary,EBAE,7,EBAE,7,1,0x02,ptr_scan
F9EB,7,standalone,F9EB,7,F9EB,7,1,0x02,ptr_scan
C8BD,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CBC0,7,standalone,CBC0,7,CBC0,7,1,0x02,ptr_scan
CDC2,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
C3CD,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CEC3,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CFC4,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
D4DF,7,standalone,D4DF,7,D4DF,7,1,0x02,ptr_scan
D5E0,7,secondary,C697,7,C697,7,1,0x02,ptr_scan
D6E1,7,secondary,C73B,7,C73B,7,1,0x02,ptr_scan
E2D6,7,standalone,E2D6,7,E2D6,7,1,0x02,ptr_scan
D7E2,7,standalone,D7E2,7,C836,7,1,0x02,ptr_scan
D8E3,7,standalone,D8E3,7,D8E3,7,1,0x02,ptr_scan
E5D9,7,standalone,E5D9,7,E5D9,7,1,0x02,ptr_scan
E6DA,7,standalone,E6DA,7,E6DA,7,1,0x02,ptr_scan
DBE7,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
CEDC,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
E8CE,7,standalone,E8CE,7,E8CE,7,1,0x02,ptr_scan
E9F4,7,secondary,E9EA,7,E9EA,7,1,0x02,ptr_scan
F5E9,7,secondary,F5BD,7,F5BD,7,1,0x02,ptr_scan
EAF5,7,secondary,EAEC,7,EAEC,7,1,0x02,ptr_scan
EBF6,7,secondary,EBAE,7,EBAE,7,1,0x02,ptr_scan
F7EB,7,secondary,F7DC,7,F7DC,7,1,0x02,ptr_scan
F8EC,7,standalone,F8EC,7,F8EC,7,1,0x02,ptr_scan
F9ED,7,secondary,F9A8,7,F9A8,7,1,0x02,ptr_scan
FAB6,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
EEFA,7,standalone,EEFA,7,EEFA,7,1,0x02,ptr_scan
EFFB,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
CB40,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CB96,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
ED61,7,secondary,ED45,7,ED45,7,1,0x02,ptr_scan
E2B2,7,standalone,E2B2,7,E2B2,7,1,0x02,ptr_scan
E7E2,7,standalone,E7E2,7,E7E2,7,1,0x02,ptr_scan
F988,7,standalone,F988,7,F988,7,1,0x02,ptr_scan
E103,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
FAE1,7,secondary,FAC8,7,FAC8,7,1,0x02,ptr_scan
DF89,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
E184,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
E984,7,secondary,E928,7,E928,7,1,0x02,ptr_scan
D487,7,standalone,D487,7,D487,7,1,0x02,ptr_scan
EAA0,7,secondary,EA89,7,EA89,7,1,0x02,ptr_scan
E18F,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
E98F,7,secondary,E928,7,E928,7,1,0x02,ptr_scan
E08F,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
CCA2,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
E4A2,7,secondary,E49D,7,E49D,7,1,0x02,ptr_scan
D682,7,standalone,D682,7,D682,7,1,0x02,ptr_scan
E2AC,7,standalone,E2AC,7,E2AC,7,1,0x02,ptr_scan
D3B1,7,secondary,C3ED,7,C3ED,7,1,0x02,ptr_scan
D2B2,7,standalone,D2B2,7,D2B2,7,1,0x02,ptr_scan
F7B3,7,standalone,F7B3,7,F7B3,7,1,0x02,ptr_scan
F9B1,7,secondary,F9A8,7,F9A8,7,1,0x02,ptr_scan
EC0B,7,secondary,EBAE,7,EBAE,7,1,0x02,ptr_scan
EFFD,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
EC81,7,secondary,EC36,7,EC36,7,1,0x02,ptr_scan
F982,7,secondary,F947,7,F947,7,1,0x02,ptr_scan
EA17,7,standalone,EA17,7,EA13,7,3,0x03,control|ptr_scan
EB05,7,standalone,EB05,7,EB05,7,1,0x02,ptr_scan
ECFF,7,standalone,ECFF,7,ECFF,7,1,0x02,ptr_scan
F413,7,standalone,F413,7,F413,7,1,0x02,ptr_scan
EC17,7,standalone,EC17,7,EC17,7,1,0x02,ptr_scan
